Date,Time,Game,Result,Unnamed: 4,Spectators,Venue,home_goals,away_goals,home,away
,19:00:00,HV 71  -  Djurgårdens IF,7 - 1,"(1-0, 2-0, 4-1)",6393,Kinnarps Arena,7,1,HV 71  ,  Djurgårdens IF
,19:00:00,Linköping HC  -  Frölunda HC,1 - 2,"(1-0, 0-0, 0-1, 0-0, 0-1)",5815,Saab Arena,1,2,Linköping HC  ,  Frölunda HC
,19:00:00,Luleå HF  -  IK Oskarshamn,4 - 3,"(1-1, 1-1, 1-1, 1-0)",4704,Coop Norrbotten Arena,4,3,Luleå HF  ,  IK Oskarshamn
,19:00:00,Örebro HK  -  IF Malmö Redhawks,0 - 2,"(0-0, 0-1, 0-1)",5245,Behrn Arena,0,2,Örebro HK  ,  IF Malmö Redhawks
,19:00:00,Leksands IF  -  Växjö Lakers HC,4 - 1,"(1-1, 1-0, 2-0)",5787,Tegera Arena,4,1,Leksands IF  ,  Växjö Lakers HC
2020-02-29,15:15:00,Luleå HF  -  Frölunda HC,4 - 1,"(2-0, 1-0, 1-1)",5915,Coop Norrbotten Arena,4,1,Luleå HF  ,  Frölunda HC
,15:15:00,Djurgårdens IF  -  IK Oskarshamn,5 - 4,"(2-2, 2-1, 1-1)",7702,"Hovet, Johanneshov",5,4,Djurgårdens IF  ,  IK Oskarshamn
,15:15:00,IF Malmö Redhawks  -  Färjestad BK,3 - 1,"(1-1, 1-0, 1-0)",7689,Malmö Arena,3,1,IF Malmö Redhawks  ,  Färjestad BK
,18:00:00,HV 71  -  Brynäs IF,5 - 6,"(0-1, 4-2, 1-2, 0-1)",7000,Kinnarps Arena,5,6,HV 71  ,  Brynäs IF
,18:00:00,Rögle BK  -  Linköping HC,3 - 2,"(1-0, 1-1, 0-1, 0-0, 1-0)",5051,Catena Arena,3,2,Rögle BK  ,  Linköping HC
,18:00:00,Skellefteå AIK  -  Leksands IF,8 - 2,"(3-2, 3-0, 2-0)",5064,Skellefteå Kraft Arena,8,2,Skellefteå AIK  ,  Leksands IF
,18:00:00,Växjö Lakers HC  -  Örebro HK,4 - 1,"(0-1, 2-0, 2-0)",4472,Vida Arena,4,1,Växjö Lakers HC  ,  Örebro HK
2020-03-03,19:00:00,Brynäs IF  -  Växjö Lakers HC,0 - 1,"(0-0, 0-1, 0-0)",5667,Monitor ERP Arena,0,1,Brynäs IF  ,  Växjö Lakers HC
,19:00:00,Färjestad BK  -  HV 71,1 - 2,"(0-2, 0-0, 1-0)",7448,Löfbergs Arena,1,2,Färjestad BK  ,  HV 71
,19:00:00,Frölunda HC  -  Skellefteå AIK,1 - 0,"(1-0, 0-0, 0-0)",10433,Scandinavium,1,0,Frölunda HC  ,  Skellefteå AIK
,19:00:00,Linköping HC  -  Djurgårdens IF,2 - 3,"(0-0, 1-2, 1-0, 0-1)",6061,Saab Arena,2,3,Linköping HC  ,  Djurgårdens IF
,19:00:00,Luleå HF  -  Rögle BK,3 - 0,"(0-0, 2-0, 1-0)",5440,Coop Norrbotten Arena,3,0,Luleå HF  ,  Rögle BK
,19:00:00,IF Malmö Redhawks  -  Leksands IF,3 - 2,"(1-2, 0-0, 1-0, 0-0, 1-0)",5229,Malmö Arena,3,2,IF Malmö Redhawks  ,  Leksands IF
,19:00:00,IK Oskarshamn  -  Örebro HK,1 - 2,"(0-1, 0-0, 1-0, 0-0, 0-1)",2843,Be-Ge Hockey Center,1,2,IK Oskarshamn  ,  Örebro HK
2020-03-05,19:00:00,Djurgårdens IF  -  Luleå HF,3 - 2,"(0-0, 1-1, 1-1, 1-0)",6993,"Hovet, Johanneshov",3,2,Djurgårdens IF  ,  Luleå HF
,19:00:00,HV 71  -  IK Oskarshamn,5 - 3,"(2-2, 1-1, 2-0)",6123,Kinnarps Arena,5,3,HV 71  ,  IK Oskarshamn
,19:00:00,Örebro HK  -  Linköping HC,3 - 0,"(1-0, 0-0, 2-0)",5143,Behrn Arena,3,0,Örebro HK  ,  Linköping HC
,19:00:00,Rögle BK  -  Brynäs IF,6 - 4,"(2-1, 3-1, 1-2)",5000,Catena Arena,6,4,Rögle BK  ,  Brynäs IF
,19:00:00,Skellefteå AIK  -  IF Malmö Redhawks,3 - 0,"(0-0, 0-0, 3-0)",4501,Skellefteå Kraft Arena,3,0,Skellefteå AIK  ,  IF Malmö Redhawks
,19:00:00,Leksands IF  -  Färjestad BK,1 - 2,"(1-1, 0-0, 0-0, 0-1)",5198,Tegera Arena,1,2,Leksands IF  ,  Färjestad BK
,19:00:00,Växjö Lakers HC  -  Frölunda HC,3 - 2,"(0-0, 2-0, 1-2)",4600,Vida Arena,3,2,Växjö Lakers HC  ,  Frölunda HC
2020-03-07,15:15:00,Brynäs IF  -  Leksands IF,5 - 4,"(0-1, 2-2, 2-1, 0-0, 1-0)",7909,Monitor ERP Arena,5,4,Brynäs IF  ,  Leksands IF
,15:15:00,Frölunda HC  -  HV 71,3 - 4,"(0-0, 1-1, 2-2, 0-0, 0-1)",12044,Scandinavium,3,4,Frölunda HC  ,  HV 71
,15:15:00,Linköping HC  -  Skellefteå AIK,4 - 3,"(2-2, 2-0, 0-1)",8067,Saab Arena,4,3,Linköping HC  ,  Skellefteå AIK
,15:15:00,IF Malmö Redhawks  -  Växjö Lakers HC,5 - 4,"(2-0, 0-1, 3-3)",7170,Malmö Arena,5,4,IF Malmö Redhawks  ,  Växjö Lakers HC
,18:00:00,Färjestad BK  -  Djurgårdens IF,4 - 1,"(2-1, 1-0, 1-0)",8250,Löfbergs Arena,4,1,Färjestad BK  ,  Djurgårdens IF
,18:00:00,Luleå HF  -  Örebro HK,3 - 2,"(1-0, 0-1, 1-1, 1-0)",5289,Coop Norrbotten Arena,3,2,Luleå HF  ,  Örebro HK
,18:00:00,IK Oskarshamn  -  Rögle BK,1 - 2,"(0-1, 1-1, 0-0)",3091,Be-Ge Hockey Center,1,2,IK Oskarshamn  ,  Rögle BK
2020-03-10,19:00:00,Djurgårdens IF  -  Rögle BK,3 - 2,"(2-1, 1-1, 0-0)",6470,"Hovet, Johanneshov",3,2,Djurgårdens IF  ,  Rögle BK
,19:00:00,Färjestad BK  -  Linköping HC,2 - 4,"(1-1, 0-2, 1-1)",7423,Löfbergs Arena,2,4,Färjestad BK  ,  Linköping HC
,19:00:00,HV 71  -  Luleå HF,2 - 1,"(1-0, 0-0, 1-1)",6718,Kinnarps Arena,2,1,HV 71  ,  Luleå HF
,19:00:00,IF Malmö Redhawks  -  Frölunda HC,0 - 3,"(0-1, 0-0, 0-2)",5889,Malmö Arena,0,3,IF Malmö Redhawks  ,  Frölunda HC
,19:00:00,IK Oskarshamn  -  Brynäs IF,5 - 4,"(1-2, 4-0, 0-2)",2966,Be-Ge Hockey Center,5,4,IK Oskarshamn  ,  Brynäs IF
,19:00:00,Örebro HK  -  Leksands IF,4 - 0,"(1-0, 1-0, 2-0)",5414,Behrn Arena,4,0,Örebro HK  ,  Leksands IF
,19:00:00,Skellefteå AIK  -  Växjö Lakers HC,2 - 3,"(1-1, 0-1, 1-0, 0-0, 0-1)",4070,Skellefteå Kraft Arena,2,3,Skellefteå AIK  ,  Växjö Lakers HC
2020-03-12,19:00:00,Brynäs IF  -  Örebro HK,1 - 6,"(0-1, 0-2, 1-3)",0,Monitor ERP Arena,1,6,Brynäs IF  ,  Örebro HK
,19:00:00,Frölunda HC  -  Djurgårdens IF,3 - 2,"(2-0, 0-0, 0-2, 1-0)",0,Scandinavium,3,2,Frölunda HC  ,  Djurgårdens IF
,19:00:00,Linköping HC  -  IK Oskarshamn,3 - 1,"(1-0, 0-0, 2-1)",0,Saab Arena,3,1,Linköping HC  ,  IK Oskarshamn
,19:00:00,Luleå HF  -  Skellefteå AIK,3 - 0,"(0-0, 2-0, 1-0)",0,Coop Norrbotten Arena,3,0,Luleå HF  ,  Skellefteå AIK
,19:00:00,Rögle BK  -  IF Malmö Redhawks,5 - 2,"(0-2, 2-0, 3-0)",0,Catena Arena,5,2,Rögle BK  ,  IF Malmö Redhawks
,19:00:00,Leksands IF  -  HV 71,5 - 2,"(0-1, 3-1, 2-0)",0,Tegera Arena,5,2,Leksands IF  ,  HV 71
,19:00:00,Växjö Lakers HC  -  Färjestad BK,4 - 7,"(0-4, 2-2, 2-1)",0,Vida Arena,4,7,Växjö Lakers HC  ,  Färjestad BK
