Date,Time,Game,Result,Unnamed: 4,Spectators,Venue,home_goals,away_goals,home,away
,19:00:00,IF Malmö Redhawks  -  Skellefteå AIK,0 - 4,"(0-2, 0-1, 0-1)",5003,Malmö Arena,0,4,IF Malmö Redhawks  ,  Skellefteå AIK
,19:00:00,IK Oskarshamn  -  Frölunda HC,1 - 3,"(0-1, 1-1, 0-1)",3118,Be-Ge Hockey Center,1,3,IK Oskarshamn  ,  Frölunda HC
,19:00:00,Örebro HK  -  Växjö Lakers HC,4 - 1,"(0-1, 1-0, 3-0)",5018,Behrn Arena,4,1,Örebro HK  ,  Växjö Lakers HC
,19:00:00,Rögle BK  -  Djurgårdens IF,2 - 1,"(1-0, 0-0, 0-1, 1-0)",5007,Catena Arena,2,1,Rögle BK  ,  Djurgårdens IF
,19:00:00,Luleå HF  -  Brynäs IF,4 - 0,"(1-0, 1-0, 2-0)",4356,Coop Norrbotten Arena,4,0,Luleå HF  ,  Brynäs IF
2019-10-12,15:15:00,Djurgårdens IF  -  IF Malmö Redhawks,4 - 0,"(0-0, 2-0, 2-0)",6124,"Hovet, Johanneshov",4,0,Djurgårdens IF  ,  IF Malmö Redhawks
,15:15:00,Örebro HK  -  IK Oskarshamn,3 - 2,"(0-1, 3-1, 0-0)",5500,Behrn Arena,3,2,Örebro HK  ,  IK Oskarshamn
,15:15:00,Växjö Lakers HC  -  Rögle BK,1 - 3,"(0-1, 1-0, 0-2)",5023,Vida Arena,1,3,Växjö Lakers HC  ,  Rögle BK
,15:15:00,Frölunda HC  -  Luleå HF,4 - 1,"(2-1, 0-0, 2-0)",8944,Scandinavium,4,1,Frölunda HC  ,  Luleå HF
,18:00:00,HV 71  -  Färjestad BK,3 - 4,"(1-0, 2-1, 0-3)",7000,Kinnarps Arena,3,4,HV 71  ,  Färjestad BK
,18:00:00,Skellefteå AIK  -  Brynäs IF,4 - 1,"(2-0, 0-0, 2-1)",4636,Skellefteå Kraft Arena,4,1,Skellefteå AIK  ,  Brynäs IF
,18:00:00,Leksands IF  -  Linköping HC,2 - 5,"(2-3, 0-2, 0-0)",5581,Tegera Arena,2,5,Leksands IF  ,  Linköping HC
2019-10-17,19:00:00,Brynäs IF  -  IK Oskarshamn,4 - 1,"(1-0, 1-1, 2-0)",5110,Monitor ERP Arena,4,1,Brynäs IF  ,  IK Oskarshamn
,19:00:00,Djurgårdens IF  -  Skellefteå AIK,1 - 3,"(1-1, 0-0, 0-2)",5646,"Hovet, Johanneshov",1,3,Djurgårdens IF  ,  Skellefteå AIK
,19:00:00,Frölunda HC  -  Växjö Lakers HC,6 - 5,"(0-1, 3-1, 2-3, 1-0)",9207,Scandinavium,6,5,Frölunda HC  ,  Växjö Lakers HC
,19:00:00,Linköping HC  -  Örebro HK,2 - 5,"(1-0, 1-3, 0-2)",7922,Saab Arena,2,5,Linköping HC  ,  Örebro HK
,19:00:00,Luleå HF  -  Leksands IF,4 - 3,"(1-1, 2-1, 1-1)",4780,Coop Norrbotten Arena,4,3,Luleå HF  ,  Leksands IF
,19:00:00,IF Malmö Redhawks  -  HV 71,3 - 4,"(0-3, 2-0, 1-0, 0-0, 0-1)",5232,Malmö Arena,3,4,IF Malmö Redhawks  ,  HV 71
,19:00:00,Färjestad BK  -  Rögle BK,5 - 3,"(3-0, 0-1, 2-2)",6121,Löfbergs Arena,5,3,Färjestad BK  ,  Rögle BK
2019-10-19,15:15:00,Färjestad BK  -  Luleå HF,2 - 3,"(0-0, 2-3, 0-0)",6432,Löfbergs Arena,2,3,Färjestad BK  ,  Luleå HF
,15:15:00,Frölunda HC  -  IF Malmö Redhawks,4 - 1,"(1-0, 0-1, 3-0)",10227,Scandinavium,4,1,Frölunda HC  ,  IF Malmö Redhawks
,15:15:00,Rögle BK  -  Skellefteå AIK,3 - 0,"(1-0, 1-0, 1-0)",4897,Catena Arena,3,0,Rögle BK  ,  Skellefteå AIK
,15:15:00,Leksands IF  -  Djurgårdens IF,0 - 4,"(0-2, 0-1, 0-1)",7650,Tegera Arena,0,4,Leksands IF  ,  Djurgårdens IF
,18:00:00,IK Oskarshamn  -  Linköping HC,3 - 2,"(1-2, 2-0, 0-0)",3183,Be-Ge Hockey Center,3,2,IK Oskarshamn  ,  Linköping HC
,18:00:00,Örebro HK  -  HV 71,1 - 3,"(0-2, 0-0, 1-1)",5500,Behrn Arena,1,3,Örebro HK  ,  HV 71
,18:00:00,Växjö Lakers HC  -  Brynäs IF,4 - 1,"(1-1, 2-0, 1-0)",4917,Vida Arena,4,1,Växjö Lakers HC  ,  Brynäs IF
2019-10-22,19:00:00,Skellefteå AIK  -  Luleå HF,2 - 3,"(0-1, 1-1, 1-1)",5801,Skellefteå Kraft Arena,2,3,Skellefteå AIK  ,  Luleå HF
2019-10-24,18:00:00,IF Malmö Redhawks  -  IK Oskarshamn,3 - 1,"(0-0, 2-0, 1-1)",4335,Malmö Arena,3,1,IF Malmö Redhawks  ,  IK Oskarshamn
,19:00:00,Brynäs IF  -  Rögle BK,2 - 1,"(0-0, 1-1, 0-0, 1-0)",5053,Monitor ERP Arena,2,1,Brynäs IF  ,  Rögle BK
,19:00:00,Djurgårdens IF  -  Frölunda HC,2 - 3,"(0-1, 1-1, 1-0, 0-1)",6390,"Hovet, Johanneshov",2,3,Djurgårdens IF  ,  Frölunda HC
,19:00:00,HV 71  -  Växjö Lakers HC,4 - 1,"(1-0, 2-0, 1-1)",6389,Kinnarps Arena,4,1,HV 71  ,  Växjö Lakers HC
,19:00:00,Linköping HC  -  Färjestad BK,3 - 4,"(2-0, 0-1, 1-2, 0-1)",4878,Saab Arena,3,4,Linköping HC  ,  Färjestad BK
,19:00:00,Leksands IF  -  Örebro HK,3 - 5,"(1-1, 1-2, 1-2)",5402,Tegera Arena,3,5,Leksands IF  ,  Örebro HK
2019-10-26,15:15:00,Brynäs IF  -  Leksands IF,3 - 2,"(1-1, 1-1, 0-0, 0-0, 1-0)",7909,Monitor ERP Arena,3,2,Brynäs IF  ,  Leksands IF
,15:15:00,Djurgårdens IF  -  IK Oskarshamn,3 - 2,"(1-0, 0-2, 1-0, 1-0)",6127,"Hovet, Johanneshov",3,2,Djurgårdens IF  ,  IK Oskarshamn
,15:15:00,Frölunda HC  -  Skellefteå AIK,5 - 1,"(3-0, 0-1, 2-0)",10370,Scandinavium,5,1,Frölunda HC  ,  Skellefteå AIK
,18:00:00,Färjestad BK  -  HV 71,3 - 2,"(2-1, 0-0, 1-1)",7197,Löfbergs Arena,3,2,Färjestad BK  ,  HV 71
,18:00:00,Luleå HF  -  IF Malmö Redhawks,3 - 0,"(2-0, 1-0, 0-0)",5571,Coop Norrbotten Arena,3,0,Luleå HF  ,  IF Malmö Redhawks
,18:00:00,Rögle BK  -  Örebro HK,2 - 3,"(1-1, 1-1, 0-1)",4850,Catena Arena,2,3,Rögle BK  ,  Örebro HK
,18:00:00,Växjö Lakers HC  -  Linköping HC,6 - 2,"(0-2, 4-0, 2-0)",4346,Vida Arena,6,2,Växjö Lakers HC  ,  Linköping HC
